"","Hispanic","Non-Hispanic Asian","Non-Hispanic Black","Other Race"
"model_1a","1.10 (0.94, 1.29)","1.53 (1.23, 1.90)","0.66 (0.58, 0.77)","0.92 (0.65, 1.29)"
"model_1b","1.19 (0.98, 1.44)","1.03 (0.81, 1.29)","0.76 (0.67, 0.87)","0.96 (0.66, 1.41)"
"model_2a","1.16 (0.94, 1.44)","1.42 (1.04, 1.93)","0.73 (0.56, 0.97)","1.08 (0.77, 1.52)"
"model_2b","1.21 (0.97, 1.51)","1.19 (0.87, 1.62)","0.80 (0.60, 1.07)","1.19 (0.87, 1.64)"
"model_3a","0.86 (0.57, 1.31)","0.88 (0.56, 1.40)","0.67 (0.47, 0.94)","0.73 (0.36, 1.48)"
"model_3b","0.91 (0.60, 1.36)","0.63 (0.39, 1.03)","0.77 (0.55, 1.06)","0.75 (0.36, 1.58)"
